code,desc,example_problem,example_problem_url,example_problem_attribution,progressions,"Tasks Names","Tasks URLs","Assessment Item Names","Assessment Item URLs","Lessons Names","Lessons URLs","Assessment Items Names","Assessment Items URLs","Assessments Names","Assessments URLs","Prior Grade-Level Tasks Names","Prior Grade-Level Tasks URLs","Tasks  Names","Tasks  URLs",modeling,wap,md,traditional_course_frameworks_a1,traditional_course_frameworks_g,traditional_course_frameworks_a2,integrated_course_frameworks_m1,integrated_course_frameworks_m2,integrated_course_frameworks_m3,"Tasks Names","Tasks URLs"
1.G.A.1,"<p>Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.</p>
","<h1>1.G 3-D Shape Sort</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<p>As a whole group, students will sort a collection of three-dimensional objects into categories by shape. There should be several that fall into each of the categories below:</p>

<ul>
	<li>
	<p>sphere</p>
	</li>
	<li>
	<p>cone</p>
	</li>
	<li>
	<p>pyramid</p>
	</li>
	<li>
	<p>cube</p>
	</li>
	<li>
	<p>cylinder</p>
	</li>
	<li>
	<p>rectangular prism</p>
	</li>
</ul>

<p>As a class, students brainstorm attributes of the objects they have classified, and the teacher writes those attributes where the entire class can see them. Students then use one of the following sentence frames as they classify the objects. The sentence frames should be written on sentence strips or some other large paper so that the entire class can read/see them during the activity.)</p>

<p>The ___________ is in the shape of a __________ . It is/has __________ , just like all ____________.</p>

<p>The ___________ is in the shape of a __________ . It is/has ___________ , but some ___________ aren&#39;t/don&#39;t.</p>

<p>The teacher models with one or two objects to start. An example would be:</p>

<p>&quot;The can is in the shape of a cylinder. It has circles on the ends, just like all cylinders.&quot;</p>

<p>&quot;The can is a in the shape of a cylinder. It is made of metal, but some cylinders aren&#39;t.&quot;</p>

<p>This will help students distinguish between defining attributes and non-defining attributes.</p>

<p>Once students are familiar with this task they can be given a set of cards and can work in pairs to classify by defining attribute using the (now familiar) sentence frames.</p>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p>The attributes that students describe will vary, but here are some examples (in adult language):</p>

<ul>
	<li>
	<p>The baseball is in the shape of a sphere. It is round, just like all spheres.</p>
	</li>
	<li>
	<p>The orange is in the shape of a sphere. It is orange, but some spheres aren&#39;t.</p>
	</li>
	<li>
	<p>The food can is in the shape of a cylinder. The label is a rectangle when we take it off and lay it flat, just like all cylinders (if we could remove the surface).</p>
	</li>
	<li>
	<p>The toilet paper roll is in the shape of a cylinder. It is made of paper, but some cylinders aren&#39;t.</p>
	</li>
	<li>
	<p>The box of markers is in the shape of a rectangular prism. The corners are square, just like all rectangular prisms.</p>
	</li>
	<li>
	<p>The brick is in the shape of a rectangular prism. It is heavy, but some rectangular prisms aren&#39;t.</p>
	</li>
	<li>
	<p>The Egyptian pyramids are in the shape of a pyramid. They come to a point at the top, just like all pyramids.</p>
	</li>
	<li>
	<p>The food pyramid is not in the shape of a pyramid. It is flat, which is why it isn&#39;t a real pyramid.</p>
	</li>
</ul>
</div>
",http://s3.amazonaws.com/illustrativemathematics/attachments/000/009/117/original/public_task_1104.pdf?1462394755,"Provided by Illustrative Mathematics","<p><img alt="""" src=""https://achievethecore.org/content/upload/1.G.A.1.jpg"" style=""height:640px; width:1120px"" /></p>

<p>[Students] differentiate between geometrically defining attributes (e.g., &ldquo;hexagons have six straight sides&rdquo;) and nondefining attributes (e.g., color, overall size, or orientation).For example, they might say of this shape, &ldquo;This has to go with the squares, because all four sides are the same, and these are square corners. It doesn&rsquo;t matter which way it&rsquo;s turned&rdquo; (MP3, MP7). They explain why the variants shown earlier (p. 6) are members of familiar shape categories and why the difficult distractors are not, and they draw examples and nonexamples of the shape categories (MP7, MP8).</p>

<p>Please reference page 8&nbsp;in the Progression document.</p>
","What Is a Hexagon?;All vs. Only some",https://achievethecore.org/content/upload/Gr%201.P.5%20What%20is%20a%20hexagon_Final%20.pdf;https://www.illustrativemathematics.org/content-standards/1/G/A/1/tasks/752,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,"What Is a Hexagon?;All vs. Only some",https://achievethecore.org/content/upload/Gr%201.P.5%20What%20is%20a%20hexagon_Final%20.pdf;https://www.illustrativemathematics.org/content-standards/1/G/A/1/tasks/752
1.G.A.2,"<p>Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.*</p>

<p>&nbsp;</p>

<p><sup>*Students do not need to learn formal names such as &ldquo;right rectangular prism.&rdquo;</sup></p>
","<h1>1.G Counting Squares</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<p>How many squares are in this picture?</p>

<p><img alt=""Squares_6eecd0f2c2502667c6cd11cddb50901a"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/001/410/original/Squares_6eecd0f2c2502667c6cd11cddb50901a.png?1346269939"" /></p>
</div>

<div class=""detail"">
<h2>Attached Resources</h2>

<ul>
	<li><a href=""/tasks/1164/../../attached_resources/518/download"">Geogebra File</a></li>
</ul>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p>In addition to the nine small squares, there are four $2 \times 2$ squares (shown below), and one $3 \times 3$ square, for a total of 14 squares.</p>

<p><img alt=""Squares2_b42f0be24bff23d834a596e56e32095b"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/001/411/original/Squares2_b42f0be24bff23d834a596e56e32095b.png?1346270422"" /></p>
</div>
",http://s3.amazonaws.com/illustrativemathematics/attachments/000/009/145/original/public_task_1164.pdf?1462394955,"Provided by Illustrative Mathematics","<p>From the early beginnings of informally matching shapes and solving simple shape puzzles, students learn to intentionally compose and decompose plane and solid figures (e.g., putting two congruent isosceles triangles together with the explicit purpose of making a rhombus), building understanding of part-whole relationships as well as the properties of the original and composite shapes. In this way, they learn to perceive a combination of shapes as a single new shape (e.g., recognizing that two isosceles triangles can be combined to make a rhombus, and simultaneously seeing the rhombus and the two triangles).</p>

<p>Please reference page 8&nbsp;in the Progression document.</p>
","Overlapping Rectangles",https://www.illustrativemathematics.org/content-standards/1/G/A/2/tasks/901,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,"Overlapping Rectangles",https://www.illustrativemathematics.org/content-standards/1/G/A/2/tasks/901
1.G.A.3,"<p>Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.</p>
",,,,,,,"NWEA Assessment Item Illustrating 1.G.A.3",https://achievethecore.org/content/upload/1.G.A.3_NWEA.pdf,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,
1.MD.A.1,"<p>Order three objects by length; compare the lengths of two objects indirectly by using a third object.</p>
",,,,"<p>Transitivity can be explicitly discussed: If A is longer than B and B is longer than C, then A must be longer than C as well.</p>

<p>Please reference page 8&nbsp;in the Progression document</p>
",,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,
1.MD.A.2,"<p>Express the length of an object as a <a id=""The numbers 0, 1, 2, 3, …."" name=""The numbers 0, 1, 2, 3, …."">whole number</a> of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps. Limit to contexts where the object being measured is spanned by a whole number of length units with no gaps or overlaps.</p>
","<h1>1.MD Measure Me!</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<p>Materials</p>

<p>* Student worksheet * Unifix cubes * Pencils * Clip boards (optional)</p>

<p>Actions</p>

<p>Students will work on the rug in pairs and measure each other. Student A starts with a worksheet: <img alt=""1_e390108742c99df3ad80842ce0f0c5ac"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/001/798/medium/1_e390108742c99df3ad80842ce0f0c5ac.jpg?1358124765"" /> and writes their name on top. Then they write their partner&rsquo;s name in the speech bubble where it says &ldquo;I am_______&rdquo;. Student A measures Student B using the unifix cubes and records the length of Student B&rsquo;s arm, leg, foot, hand and neck in the corresponding boxes. Students should connect the unifix cubes to make a measuring stick from them as opposed to lining individual cubes up next to their partner. Once Student A finishes, the partners switch and, using a second worksheet (or the reverse side if the teacher copies the worksheets so that they are double sided), Student B now measures Student A and records the values. Once they are finished, the students return to the whole group where the teacher can ask,</p>

<blockquote>Who has the longest leg, you or your partner?</blockquote>

<p>The students should then stand side-by-side to verify that their measurements correctly identified the longest leg. If they don&#39;t, then students should re-measure their legs. It is easy for students to lose track while counting or to measure imprecisely. This would be a good opportunity for teachers to talk about how it is important to measure carefully in order to get accurate measurements. Students who finish early can measure other objects in the classroom.</p>
</div>

<div class=""detail"">
<h2>Attached Resources</h2>

<ul>
	<li><a href=""/tasks/688/../../attached_resources/20/download"">Blackline Master</a></li>
</ul>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p>This is an example of Illeana measuring Javier:</p>

<p><img alt=""2_d0872830b34276d192d5db97bda871d5"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/001/801/medium/2_d0872830b34276d192d5db97bda871d5.jpg?1358211008"" /></p>
</div>
",http://s3.amazonaws.com/illustrativemathematics/attachments/000/008/905/original/public_task_688.pdf?1462393412,"Provided by Illustrative Mathematics","<p>The use of a variety of different length units, before students understand the concepts, procedures, and usefulness of measurement, may actually deter students&rsquo; development. Instead, students might learn to measure correctly with standard units, and even learn to use rulers, before they can successfully use nonstandard units and understand relationships between different units of measurement.</p>

<p>Please reference page 9&nbsp;in the Progression document</p>
","Measuring Length;Measuring Blocks;Growing Bean Plants",https://achievethecore.org/content/upload/Gr%201.P.1%20Measuring%20Length_Final%20.pdf;https://www.illustrativemathematics.org/content-standards/1/MD/A/2/tasks/981;https://www.illustrativemathematics.org/content-standards/1/MD/A/2/tasks/1086,"NWEA Assessment Item Illustrating 1.MD.A.2",https://achievethecore.org/content/upload/1.MD.A.2_NWEA.pdf,,,,,,,,,,,0,1,0,0,0,0,0,0,0,"Measuring Length;Measuring Blocks;Growing Bean Plants",https://achievethecore.org/content/upload/Gr%201.P.1%20Measuring%20Length_Final%20.pdf;https://www.illustrativemathematics.org/content-standards/1/MD/A/2/tasks/981;https://www.illustrativemathematics.org/content-standards/1/MD/A/2/tasks/1086
1.MD.B.3,"Tell and write time in hours and half-hours using analog and digital clocks.",,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,
1.MD.C.4,"<p>Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.</p>
","<h1>1.MD Weather Graph Data</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<p>Materials</p>

<ul>
	<li>Completed monthly weather recording sheet</li>
</ul>

<p><img alt=""Chart_examplesolutio_9837921ce1768c1a5488670c58b61392"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/002/081/medium/chart_examplesolutio_9837921ce1768c1a5488670c58b61392.jpg?1366149106"" /></p>

<ul>
	<li>Crayons</li>
	<li>Sentence strips with frames (see below)</li>
	<li>Student worksheet</li>
</ul>

<p>Actions</p>

<ul>
	<li>Every day for a month the students record the weather by shading in an appropriate box on the recording sheet (attached).</li>
	<li>At the completion of a month of school, the teacher projects the completed recording sheet using a document projector (if working with the whole class) or shows it to the students (if working in a small group setting).</li>
	<li>The teacher asks the students to count how many days in the month each type of weather occurred, writing the number by the type of weather.</li>
	<li>
	<p>The teacher or another student asks questions like these:</p>

	<ul>
		<li><em>How many rainy days did we have this month?</em></li>
		<li><em>How many more rainy days did we have than sunny days?</em></li>
		<li><em>How many days did we record the weather?</em></li>
	</ul>

	<p>Students compose answers to the questions using sentence frames like these:</p>

	<ul>
		<li><strong>In September there were ___ ______ days </strong></li>
		<li><strong>There were ___ more ________ days than ________ days</strong></li>
		<li><strong>There were ___ fewer _________ days than _______ days</strong></li>
		<li><strong>We recorded ____ days of weather altogether. </strong></li>
	</ul>

	<p>Both numbers and types of weather are used to fill in the blanks. Students pair up and share an idea for each sentence frame; then the teacher chooses a student to fill in one of the frames orally, while it is recorded onto the sentence frame.</p>
	</li>
	<li>The students copy the data from the recording sheet onto their worksheet to create their own graph. The teacher may need to model this for the students the first time they do it.</li>
	<li>The students choose a sentence based on the completed frames to match each of the weather pictures given. So, for the sunny picture a student could write, &quot;There were 5 more sunny days than rainy days,&quot; or &quot;There were 12 sunny days in September.&quot; The frame of &quot;We recorded ___ days of weather altogether&quot; could be stated orally, or added at the bottom of the recording sheet to be filled in. The teacher may need to model this for the students the first time they do it.</li>
</ul>
</div>

<div class=""detail"">
<h2>Attached Resources</h2>

<ul>
	<li><a href=""/tasks/1233/../../attached_resources/190/download"">Monthly weather recording sheet (PDF)</a></li>
	<li><a href=""/tasks/1233/../../attached_resources/191/download"">Student worksheet p. 1 (PDF)</a></li>
	<li><a href=""/tasks/1233/../../attached_resources/193/download"">Student worksheet p. 2 (PDF)</a></li>
</ul>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p><img alt=""Student_work_sheet_s_91acc9a31436cc3a73a79a648b6417bf"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/002/080/max/student_work_sheet_s_91acc9a31436cc3a73a79a648b6417bf.jpg?1366149076"" /></p>
</div>
",s3.amazonaws.com/illustrativemathematics/attachments/000/009/187/original/public_task_1233.pdf?1462395235,"Provided by Illustrative Mathematics","<p>Students&rsquo; data work in Grade 1 has important connections to addition and subtraction. Students in grade 1 can ask and answer questions about categorical data based on a representation of the data.Students can also ask and answer questions leading to other kinds of addition and subtraction problems (1.OA), such as compare problems or problems involving the addition of three numbers (for situations with three categories).</p>

<p>There is no single correct way to represent categorical data-and the Standards do not require Grade 1 students to use any specific format. However, students should be familiar with mark schemes like the one shown in the figure. Another format that might be useful in Grade 1 is a picture graph in which one picture represents one object. (Note that picture graphs are not an expectation in the Standards until Grade 2.)</p>

<p><img alt="""" src=""https://achievethecore.org/content/upload/1.MD.C.4.jpg"" style=""height:1000px; width:1120px"" /></p>

<p>Please reference page 5&nbsp;in the Progression document.</p>
","Favorite Ice Cream Flavor",https://www.illustrativemathematics.org/content-standards/1/MD/C/4/tasks/506,"NWEA Assessment Item Illustrating 1.MD.C.4",https://achievethecore.org/content/upload/1.MD.C.4_NWEA.pdf,,,,,,,,,,,0,1,1,0,0,0,0,0,0,"Favorite Ice Cream Flavor",https://www.illustrativemathematics.org/content-standards/1/MD/C/4/tasks/506
1.NBT.A.1,"<p>Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.</p>
","<h1>1.NBT Choral Counting II</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<h3>Materials</h3>

<ul>
	<li>100 chart or large number line, preferably one that extends beyond 100.</li>
	<li>A pointer</li>
</ul>

<h3>Setup</h3>

<p>Have students sit in the whole group meeting area.</p>

<h3>Actions</h3>

<p>Lead the students in chanting the counting sequence starting with one to one hundred; use the pointer to follow the number sequence. Then start counting at various numbers other than one that are randomly selected from 1-120. Have a student take over the job of pointing out the number sequence. Highlight the multiples of ten using a marker or a colored screen and have students chant the counting sequence by 10s, by 5s and by 2s. This should be done daily.</p>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p>Start the counting sequence with one to one hundred, then begin picking starting numbers other than one.This will help students build the flexibility to start a count from a number other than one.</p>

<p>Select a number from 1-50 and count backward by ones; once students are fluent, move to numbers from 50-100 as starting points.</p>

<p>Count by decuple numbers &mdash; 10,20,30,40,50,60,70,80,90,100, by 5s to 50 and by 2s to 20.</p>
</div>
",http://s3.amazonaws.com/illustrativemathematics/attachments/000/008/897/original/public_task_678.pdf?1462393363,"Provided by Illustrative Mathematics",,"“Crossing the Decade” Concentration;Start/Stop Counting II;Where Do I Go?",https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/405;https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/681;https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/682,"NWEA Assessment Item Illustrating 1.NBT.A.1",https://achievethecore.org/content/upload/1.NBT.A.1_NWEA.pdf,"Building Tens at the Lego Factory",http://achievethecore.org/page/908/building-tens-at-the-lego-factory-detail-pg,,,,,,,,,0,1,0,0,0,0,0,0,0,"“Crossing the Decade” Concentration;Start/Stop Counting II;Where Do I Go?",https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/405;https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/681;https://www.illustrativemathematics.org/content-standards/1/NBT/A/1/tasks/682
1.NBT.B.2,"<p>Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:</p>
","<h1>1.NBT Roll &amp; Build</h1>

<div class=""detail"">
<h2>Task</h2>

<p>&nbsp;</p>

<p>Materials</p>

<p>For each pair:</p>

<ul>
	<li>
	<p>2 ten-sided dice with the numbers 0 to 9 or two spinners with the numbers 0 to 9</p>
	</li>
	<li>
	<p>Base-10 blocks, linking cubes, or bundled and loose popsicle sticks</p>
	</li>
	<li>
	<p>Paper and pencil</p>
	</li>
</ul>

<p>Play</p>

<ul>
	<li>
	<p>Student A rolls the dice.</p>
	</li>
	<li>
	<p>Student B makes a number using the values on the dice as digits and both students write it on the paper. For example, if student A rolled a 3 and a 4, the number can be 34 or 43.</p>
	</li>
	<li>
	<p>Student A represents the number with the tens and ones blocks/popsicle sticks.</p>
	</li>
	<li>
	<p>Student B counts the blocks to check that they correctly represent the number.</p>
	</li>
	<li>
	<p>Both students draw a picture of the tens and ones on the paper.</p>
	</li>
</ul>

<p>The students should take turns.</p>
</div>

<div class=""detail"">
<h2>Solution</h2>

<p>&nbsp;</p>

<p>If the student rolls a 3 and a 4, they could write 43 and select 4 tens and 3 ones:</p>

<p><img alt=""1_29063775619aa1705f5031502c4648f1"" src=""https://s3.amazonaws.com/illustrativemathematics/images/000/002/317/max/1_29063775619aa1705f5031502c4648f1.jpg?1369349632"" /></p>
</div>
",http://s3.amazonaws.com/illustrativemathematics/attachments/000/009/053/original/public_task_987.pdf?1462394355,"Provided by Illustrative Mathematics","<p>More generally, first graders learn that the two digits of a two-digit number represent amounts of tens and ones, e.g., 67 represents 6 tens and 7 ones. Saying 67 as &quot;6 tens, 7 ones&quot; as well as &quot;sixty-seven&quot; can help students focus on the tens and ones structure of written numerals.</p>

<p>Please reference page 6&nbsp;in the Progression document</p>
","The Very Hungry Caterpillar",http://achievethecore.org/page/612/the-very-hungry-caterpillar-detail-pg,"NWEA Assessment Item Illustrating 1.NBT.B.2",https://achievethecore.org/content/upload/1.NBT.B.2_NWEA.pdf,"Building Tens at the Lego Factory",http://achievethecore.org/page/908/building-tens-at-the-lego-factory-detail-pg,,,,,,,,,0,1,0,0,0,0,0,0,0,"The Very Hungry Caterpillar",http://achievethecore.org/page/612/the-very-hungry-caterpillar-detail-pg
1.NBT.B.2.a,"10 can be thought of as a bundle of ten ones — called a “ten.” b.",,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,
