code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
1.MD.A.1,1.MD.A.2,9,11
1.MD.A.2,2.MD.A.1,11,49
1.MD.B.3,2.MD.C.7,12,56
1.MD.C.4,2.MD.D.10,13,62
1.G.A.1,2.G.A.1,6,46
1.G.A.2,1.G.A.3,7,8
1.G.A.2,3.MD.C.5,7,97
1.G.A.2,4.G.A.3,7,148
1.G.A.3,2.G.A.3,8,48
1.NBT.A.1,1.NBT.B.2,16,17
1.NBT.B.2,1.NBT.B.3,17,21
1.NBT.B.2,1.NBT.C.4,17,22
1.NBT.B.2,1.NBT.C.5,17,23
1.NBT.B.2,1.NBT.C.6,17,24
1.NBT.B.2,2.NBT.A.1,17,71
1.NBT.C.4,2.NBT.B.5,22,80
1.NBT.C.4,2.OA.A.1,22,85
1.NBT.C.5,2.NBT.B.5,23,80
1.NBT.C.5,2.OA.A.1,23,85
1.NBT.C.6,2.NBT.B.5,24,80
1.NBT.C.6,2.OA.A.1,24,85
1.OA.A.1,1.MD.C.4,33,13
1.OA.A.1,1.OA.A.2,33,34
1.OA.A.1,2.OA.A.1,33,85
1.OA.A.2,1.MD.C.4,34,13
1.OA.B.3,1.OA.C.6,37,41
1.OA.B.3,2.NBT.B.9,37,84
1.OA.B.3,4.NF.B.3.a,37,176
1.OA.B.3,4.NF.B.3.b,37,179
1.OA.B.3,4.NF.B.3.c,37,182
1.OA.B.3,6.EE.A.3,37,254
1.OA.B.3,6.EE.A.4,37,255
1.OA.B.4,1.OA.C.6,38,41
1.OA.B.4,2.NBT.B.9,38,84
1.OA.B.4,3.NBT.A.2,38,108
1.OA.B.4,4.NF.B.3.a,38,176
1.OA.B.4,4.NF.B.3.b,38,179
1.OA.B.4,4.NF.B.3.c,38,182
1.OA.C.5,1.OA.C.6,39,41
1.OA.C.6,1.NBT.C.4,41,22
1.OA.C.6,2.OA.B.2,41,87
1.OA.D.7,1.OA.D.8,44,45
1.OA.D.7,2.OA.C.3,44,88
1.OA.D.7,2.OA.C.4,44,89
1.OA.D.8,4.MD.C.7,45,159
1.OA.D.8,4.NF.B.3.d,45,185
2.G.A.1,3.G.A.1,46,90
2.G.A.2,2.G.A.3,47,48
2.G.A.2,3.MD.C.6,47,100
