code_from,code_to,ccmathstandard_id,ccmathstandard_id_other
1.NBT.C.5,1.NBT.C.6,23,24
1.NBT.C.6,1.NBT.C.5,24,23
1.OA.A.1,1.OA.C.6,33,41
1.OA.A.1,1.OA.D.8,33,45
1.OA.B.3,1.OA.B.4,37,38
1.OA.B.4,1.OA.B.3,38,37
1.OA.C.6,1.OA.A.1,41,33
1.OA.D.8,1.OA.A.1,45,33
2.MD.A.1,3.MD.A.2,49,93
2.MD.B.5,2.MD.B.6,53,55
2.MD.B.5,2.OA.A.1,53,85
2.MD.B.6,2.MD.B.5,55,53
2.MD.B.6,2.MD.D.9,55,61
2.MD.C.8,2.OA.A.1,60,85
2.MD.D.10,2.OA.A.1,62,85
2.MD.D.9,2.MD.B.6,61,55
2.NBT.A.2,2.OA.C.3,74,88
2.NBT.B.5,2.OA.A.1,80,85
2.NBT.B.7,2.NBT.B.8,82,83
2.NBT.B.7,2.NBT.B.9,82,84
2.NBT.B.8,2.NBT.B.7,83,82
2.NBT.B.8,2.NBT.B.9,83,84
2.NBT.B.9,2.NBT.B.7,84,82
2.NBT.B.9,2.NBT.B.8,84,83
2.OA.A.1,2.MD.B.5,85,53
2.OA.A.1,2.MD.C.8,85,60
2.OA.A.1,2.MD.D.10,85,62
2.OA.A.1,2.NBT.B.5,85,80
2.OA.C.3,2.NBT.A.2,88,74
3.MD.A.2,2.MD.A.1,93,49
3.MD.A.2,3.NF.A.1,93,111
3.MD.A.2,3.OA.D.8,93,142
3.MD.B.3,3.OA.D.8,94,142
3.MD.B.4,3.NF.A.2,96,117
3.MD.C.7.c,3.OA.B.5,104,138
3.MD.C.7.d,3.OA.D.8,105,142
3.MD.D.8,3.OA.D.8,106,142
3.NF.A.1,3.MD.A.2,111,93
3.NF.A.1,3.NF.A.2,111,117
3.NF.A.2,3.MD.B.4,117,96
3.NF.A.2,3.NF.A.1,117,111
3.OA.A.1,3.OA.B.6,131,139
3.OA.A.2,3.OA.B.6,132,139
3.OA.A.3,3.OA.A.4,134,135
3.OA.A.3,3.OA.B.6,134,139
3.OA.A.4,3.OA.A.3,135,134
3.OA.A.4,3.OA.C.7,135,141
3.OA.B.5,3.MD.C.7.c,138,104
3.OA.B.6,3.OA.A.1,139,131
3.OA.B.6,3.OA.A.2,139,132
3.OA.B.6,3.OA.A.3,139,134
3.OA.C.7,3.OA.A.4,141,135
3.OA.C.7,3.OA.D.8,141,142
3.OA.D.8,3.MD.A.2,142,93
3.OA.D.8,3.MD.B.3,142,94
3.OA.D.8,3.MD.C.7.d,142,105
3.OA.D.8,3.MD.D.8,142,106
3.OA.D.8,3.OA.C.7,142,141
4.G.A.1,4.MD.C.5,144,155
4.G.A.2,4.MD.C.5,147,155
4.MD.A.1,4.OA.A.2,149,194
4.MD.A.2,4.NF.B.3.d,151,185
4.MD.A.2,4.OA.A.3,151,196
4.MD.B.4,4.NF.B.3.d,154,185
4.MD.C.5,4.G.A.1,155,144
4.MD.C.5,4.G.A.2,155,147
4.NF.B.3.d,4.MD.A.2,185,151
4.NF.B.3.d,4.MD.B.4,185,154
4.NF.B.4.a,4.NF.B.4.c,187,189
4.NF.B.4.b,4.NF.B.4.c,188,189
4.NF.B.4.c,4.NF.B.4.a,189,187
4.NF.B.4.c,4.NF.B.4.b,189,188
4.OA.A.2,4.MD.A.1,194,149
4.OA.A.3,4.MD.A.2,196,151
5.G.A.1,5.G.A.2,199,200
5.G.A.2,5.G.A.1,200,199
5.NBT.A.2,5.NBT.B.5,215,220
5.NBT.A.2,5.NBT.B.7,215,222
5.NBT.B.5,5.NBT.A.2,220,215
5.NBT.B.5,5.NBT.B.7,220,222
5.NBT.B.6,5.NBT.B.7,221,222
5.NBT.B.7,5.NBT.A.2,222,215
5.NBT.B.7,5.NBT.B.5,222,220
5.NBT.B.7,5.NBT.B.6,222,221
5.NF.B.3,5.NF.B.4,227,228
5.NF.B.3,5.NF.B.5,227,232
5.NF.B.4,5.NF.B.3,228,227
5.NF.B.4,5.NF.B.6,228,239
5.NF.B.4,5.NF.B.7,228,240
5.NF.B.5,5.NF.B.3,232,227
5.NF.B.5,5.NF.B.6,232,239
5.NF.B.5,5.OA.A.2,232,247
5.NF.B.6,5.NF.B.4,239,228
5.NF.B.6,5.NF.B.5,239,232
5.NF.B.6,5.NF.B.7,239,240
5.NF.B.7,5.NF.B.4,240,228
5.NF.B.7,5.NF.B.6,240,239
5.OA.A.2,5.NF.B.5,247,232
